date,close,mayer,price_to_wma200,fng,mvrv_z,nupl,sopr,puell
2015-07-20,280.0,,,,,,,
2015-07-21,277.32,,,,,,,
2015-07-22,277.89,,,,,,,
2015-07-23,277.39,,,,,,,
2015-07-24,289.12,,,,,,,
2015-07-25,289.7,,,,,,,
2015-07-26,293.89,,,,,,,
2015-07-27,294.21,,,,,,,
2015-07-28,295.76,,,,,,,
2015-07-29,290.19,,,,,,,
2015-07-30,288.49,,,,,,,
2015-07-31,285.19,,,,,,,
2015-08-01,281.53,,,,,,,
2015-08-02,282.62,,,,,,,
2015-08-03,280.95,,,,,,,
2015-08-04,285.51,,,,,,,
2015-08-05,282.77,,,,,,,
2015-08-06,279.65,,,,,,,
2015-08-07,279.94,,,,,,,
2015-08-08,262.02,,,,,,,
2015-08-09,267.63,,,,,,,
2015-08-10,265.15,,,,,,,
2015-08-11,271.99,,,,,,,
2015-08-12,266.94,,,,,,,
2015-08-13,264.67,,,,,,,
2015-08-14,266.17,,,,,,,
2015-08-15,262.46,,,,,,,
2015-08-16,259.2,,,,,,,
2015-08-17,257.31,,,,,,,
2015-08-18,221.99,,,,,,,
2015-08-19,227.34,,,,,,,
2015-08-20,235.56,,,,,,,
2015-08-21,232.85,,,,,,,
2015-08-22,231.15,,,,,,,
2015-08-23,229.21,,,,,,,
2015-08-24,211.16,,,,,,,
2015-08-25,223.73,,,,,,,
2015-08-26,226.81,,,,,,,
2015-08-27,225.8,,,,,,,
2015-08-28,231.55,,,,,,,
2015-08-29,230.61,,,,,,,
2015-08-30,229.39,,,,,,,
2015-08-31,230.75,,,,,,,
2015-09-01,228.22,,,,,,,
2015-09-02,229.97,,,,,,,
2015-09-03,227.25,,,,,,,
2015-09-04,231.39,,,,,,,
2015-09-05,236.01,,,,,,,
2015-09-06,241.29,,,,,,,
2015-09-07,241.31,,,,,,,
2015-09-08,244.14,,,,,,,
2015-09-09,238.75,,,,,,,
2015-09-10,238.52,,,,,,,
2015-09-11,240.9,,,,,,,
2015-09-12,236.5,,,,,,,
2015-09-13,230.82,,,,,,,
2015-09-14,231.01,,,,,,,
2015-09-15,230.6,,,,,,,
2015-09-16,229.73,,,,,,,
2015-09-17,233.34,,,,,,,
2015-09-18,233.78,,,,,,,
2015-09-19,232.88,,,,,,,
2015-09-20,232.24,,,,,,,
2015-09-21,227.31,,,,,,,
2015-09-22,231.28,,,,,,,
2015-09-23,230.26,,,,,,,
2015-09-24,235.27,,,,,,,
2015-09-25,235.89,,,,,,,
2015-09-26,234.69,,,,,,,
2015-09-27,233.58,,,,,,,
2015-09-28,239.99,,,,,,,
2015-09-29,236.89,,,,,,,
2015-09-30,237.14,,,,,,,
2015-10-01,238.34,,,,,,,
2015-10-02,238.28,,,,,,,
2015-10-03,239.92,,,,,,,
2015-10-04,239.87,,,,,,,
2015-10-05,240.95,,,,,,,
2015-10-06,246.64,,,,,,,
2015-10-07,244.0,,,,,,,
2015-10-08,242.94,,,,,,,
2015-10-09,244.35,,,,,,,
2015-10-10,246.07,,,,,,,
2015-10-11,249.02,,,,,,,
2015-10-12,246.39,,,,,,,
2015-10-13,250.99,,,,,,,
2015-10-14,253.27,,,,,,,
2015-10-15,254.99,,,,,,,
2015-10-16,263.43,,,,,,,
2015-10-17,272.87,,,,,,,
2015-10-18,265.0,,,,,,,
2015-10-19,265.17,,,,,,,
2015-10-20,271.14,,,,,,,
2015-10-21,268.77,,,,,,,
2015-10-22,275.84,,,,,,,
2015-10-23,278.76,,,,,,,
2015-10-24,284.29,,,,,,,
2015-10-25,284.97,,,,,,,
2015-10-26,287.1,,,,,,,
2015-10-27,295.61,,,,,,,
2015-10-28,304.09,,,,,,,
2015-10-29,316.08,,,,,,,
2015-10-30,329.11,,,,,,,
2015-10-31,314.85,,,,,,,
2015-11-01,329.46,,,,,,,
2015-11-02,365.21,,,,,,,
2015-11-03,404.1,,,,,,,
2015-11-04,410.0,,,,,,,
2015-11-05,387.21,,,,,,,
2015-11-06,374.09,,,,,,,
2015-11-07,384.81,,,,,,,
2015-11-08,373.83,,,,,,,
2015-11-09,379.53,,,,,,,
2015-11-10,337.14,,,,,,,
2015-11-11,313.2,,,,,,,
2015-11-12,336.49,,,,,,,
2015-11-13,338.07,,,,,,,
2015-11-14,334.71,,,,,,,
2015-11-15,322.93,,,,,,,
2015-11-16,332.89,,,,,,,
2015-11-17,336.49,,,,,,,
2015-11-18,335.49,,,,,,,
2015-11-19,326.41,,,,,,,
2015-11-20,322.39,,,,,,,
2015-11-21,327.0,,,,,,,
2015-11-22,323.71,,,,,,,
2015-11-23,323.0,,,,,,,
2015-11-24,321.0,,,,,,,
2015-11-25,328.98,,,,,,,
2015-11-26,352.57,,,,,,,
2015-11-27,358.19,,,,,,,
2015-11-28,357.24,,,,,,,
2015-11-29,372.24,,,,,,,
2015-11-30,376.86,,,,,,,
2015-12-01,362.68,,,,,,,
2015-12-02,360.0,,,,,,,
2015-12-03,361.77,,,,,,,
2015-12-04,363.98,,,,,,,
2015-12-05,387.99,,,,,,,
2015-12-06,387.55,,,,,,,
2015-12-07,394.73,,,,,,,
2015-12-08,418.94,,,,,,,
2015-12-09,418.39,,,,,,,
2015-12-10,415.68,,,,,,,
2015-12-11,452.95,,,,,,,
2015-12-12,436.87,,,,,,,
2015-12-13,433.83,,,,,,,
2015-12-14,444.01,,,,,,,
2015-12-15,464.27,,,,,,,
2015-12-16,453.97,,,,,,,
2015-12-17,455.5,,,,,,,
2015-12-18,463.17,,,,,,,
2015-12-19,461.29,,,,,,,
2015-12-20,442.22,,,,,,,
2015-12-21,436.81,,,,,,,
2015-12-22,433.92,,,,,,,
2015-12-23,442.43,,,,,,,
2015-12-24,455.74,,,,,,,
2015-12-25,455.84,,,,,,,
2015-12-26,419.41,,,,,,,
2015-12-27,424.72,,,,,,,
2015-12-28,421.94,,,,,,,
2015-12-29,433.89,,,,,,,
2015-12-30,427.95,,,,,,,
2015-12-31,430.35,,,,,,,
2016-01-01,435.66,,,,,,,
2016-01-02,435.4,,,,,,,
2016-01-03,431.91,,,,,,,
2016-01-04,433.85,,,,,,,
2016-01-05,433.34,,,,,,,
2016-01-06,430.87,,,,,,,
2016-01-07,459.07,,,,,,,
2016-01-08,454.44,,,,,,,
2016-01-09,450.38,,,,,,,
2016-01-10,449.99,,,,,,,
2016-01-11,449.19,,,,,,,
2016-01-12,434.01,,,,,,,
2016-01-13,432.77,,,,,,,
2016-01-14,430.03,,,,,,,
2016-01-15,357.53,,,,,,,
2016-01-16,388.7,,,,,,,
2016-01-17,378.46,,,,,,,
2016-01-18,384.89,,,,,,,
2016-01-19,375.27,,,,,,,
2016-01-20,418.54,,,,,,,
2016-01-21,409.38,,,,,,,
2016-01-22,382.9,,,,,,,
2016-01-23,387.5,,,,,,,
2016-01-24,403.05,,,,,,,
2016-01-25,391.4,,,,,,,
2016-01-26,391.54,,,,,,,
2016-01-27,394.79,,,,,,,
2016-01-28,379.61,,,,,,,
2016-01-29,378.68,,,,,,,
2016-01-30,378.46,,,,,,,
2016-01-31,367.95,,,,,,,
2016-02-01,371.33,,,,,,,
2016-02-02,372.93,,,,,,,
2016-02-03,368.87,,,,,,,
2016-02-04,387.99,1.204819651239195,,,,,,
2016-02-05,384.5,1.1920480936376254,,,,,,
2016-02-06,375.44,1.162192105303074,,,,,,
2016-02-07,377.49,1.1667393515600877,,,,,,
2016-02-08,371.14,1.1454533474048523,,,,,,
2016-02-09,372.68,1.1487250301876297,,,,,,
2016-02-10,378.44,1.1648861501088348,,,,,,
2016-02-11,378.23,1.1627304660559281,,,,,,
2016-02-12,382.05,1.1728900757474239,,,,,,
2016-02-13,391.0,1.1986142057855054,,,,,,
2016-02-14,406.59,1.2441857138201495,,,,,,
2016-02-15,398.95,1.2187471694562622,,,,,,
2016-02-16,407.42,1.2423026904564798,,,,,,
2016-02-17,415.2,1.2634505986099305,,,,,,
2016-02-18,421.19,1.2789816003864973,,,,,,
2016-02-19,420.72,1.2748490184780688,,,,,,
2016-02-20,437.46,1.322529221498703,,,,,,
2016-02-21,438.56,1.3227397929599756,,,,,,
2016-02-22,437.55,1.3165585331452752,,,,,,
2016-02-23,419.97,1.2610049305812236,,,,,,
2016-02-24,423.94,1.2698384171500374,,,,,,
2016-02-25,423.54,1.265684904703824,,,,,,
2016-02-26,430.85,1.2843498755669616,,,,,,
2016-02-27,433.12,1.2880233338250058,,,,,,
2016-02-28,433.73,1.2866464561156201,,,,,,
2016-02-29,436.44,1.2913954314120015,,,,,,
2016-03-01,433.08,1.2782968321066557,,,,,,
2016-03-02,420.39,1.2379551227648398,,,,,,
2016-03-03,418.8,1.230381612199463,,,,,,
2016-03-04,407.35,1.1941111427703732,,,,,,
2016-03-05,396.08,1.1581190039790603,,,,,,
2016-03-06,403.24,1.1760302039460473,,,,,,
2016-03-07,412.21,1.1991019462098593,,,,,,
2016-03-08,411.18,1.1930113177656931,,,,,,
2016-03-09,412.8,1.194563693424257,,,,,,
2016-03-10,415.98,1.2005217325804507,,,,,,
2016-03-11,419.39,1.206737056544489,,,,,,
2016-03-12,410.58,1.1782202297297004,,,,,,
2016-03-13,412.52,1.1806413963462854,,,,,,
2016-03-14,415.02,1.1845888704247816,,,,,,
2016-03-15,415.41,1.182598961991205,,,,,,
2016-03-16,416.07,1.1813592431487014,,,,,,
2016-03-17,418.41,1.1848238565264706,,,,,,
2016-03-18,409.65,1.1570870274062834,,,,,,
2016-03-19,410.2,1.1556703775650063,,,,,,
2016-03-20,411.27,1.1557332823758193,,,,,,
